"","date","site","site_name","variable","value"
"231",2016-01-20 14:00:00,"chbo","Chilbolton Observatory","nox",100.1079
"232",2016-01-20 15:00:00,"chbo","Chilbolton Observatory","nox",111.88125
"233",2016-01-20 16:00:00,"chbo","Chilbolton Observatory","nox",134.73945
"234",2016-01-20 17:00:00,"chbo","Chilbolton Observatory","nox",164.6892
"235",2016-01-20 18:00:00,"chbo","Chilbolton Observatory","nox",186.5835
"236",2016-01-20 19:00:00,"chbo","Chilbolton Observatory","nox",193.81275
"237",2016-01-20 20:00:00,"chbo","Chilbolton Observatory","nox",166.96125
"238",2016-01-20 21:00:00,"chbo","Chilbolton Observatory","nox",140.8671
"239",2016-01-20 22:00:00,"chbo","Chilbolton Observatory","nox",140.7294
"240",NA,"chbo","Chilbolton Observatory","nox",114.77295
"241",2016-01-21 00:00:00,"chbo","Chilbolton Observatory","nox",90.3312
"242",2016-01-21 01:00:00,"chbo","Chilbolton Observatory","nox",74.5416
"243",2016-01-21 02:00:00,"chbo","Chilbolton Observatory","nox",70.70895
"244",2016-01-21 03:00:00,"chbo","Chilbolton Observatory","nox",67.6107
"245",2016-01-21 04:00:00,"chbo","Chilbolton Observatory","nox",54.46035
"246",2016-01-21 05:00:00,"chbo","Chilbolton Observatory","nox",47.5065
"247",2016-01-21 06:00:00,"chbo","Chilbolton Observatory","nox",45.441
"248",2016-01-21 07:00:00,"chbo","Chilbolton Observatory","nox",52.67025
"249",2016-01-21 08:00:00,"chbo","Chilbolton Observatory","nox",75.735
"250",2016-01-21 09:00:00,"chbo","Chilbolton Observatory","nox",68.7123
"251",2016-01-21 10:00:00,"chbo","Chilbolton Observatory","nox",42.20505
"252",2016-01-21 11:00:00,"chbo","Chilbolton Observatory","nox",33.52995
"253",2016-01-21 12:00:00,"chbo","Chilbolton Observatory","nox",33.80535
"254",2016-01-21 13:00:00,"chbo","Chilbolton Observatory","nox",23.75325
"255",2016-01-21 14:00:00,"chbo","Chilbolton Observatory","nox",25.3368
"256",2016-01-21 15:00:00,"chbo","Chilbolton Observatory","nox",35.45775
"257",2016-01-21 16:00:00,"chbo","Chilbolton Observatory","nox",33.4611
"258",2016-01-21 17:00:00,"chbo","Chilbolton Observatory","nox",37.0413
"259",2016-01-21 18:00:00,"chbo","Chilbolton Observatory","nox",43.6509
"260",2016-01-21 19:00:00,"chbo","Chilbolton Observatory","nox",38.1429
"261",2016-01-21 20:00:00,"chbo","Chilbolton Observatory","nox",31.05135
"262",2016-01-21 21:00:00,"chbo","Chilbolton Observatory","nox",30.294
"263",2016-01-21 22:00:00,"chbo","Chilbolton Observatory","nox",29.1924
"264",NA,"chbo","Chilbolton Observatory","nox",26.4384
"265",2016-01-22 00:00:00,"chbo","Chilbolton Observatory","nox",23.868
"266",2016-01-22 01:00:00,"chbo","Chilbolton Observatory","nox",18.1764
"267",2016-01-22 02:00:00,"chbo","Chilbolton Observatory","nox",16.2486
"268",2016-01-22 03:00:00,"chbo","Chilbolton Observatory","nox",13.15035
"269",2016-01-22 04:00:00,"chbo","Chilbolton Observatory","nox",12.9438
"270",2016-01-22 05:00:00,"chbo","Chilbolton Observatory","nox",13.01265
"271",2016-01-22 06:00:00,"chbo","Chilbolton Observatory","nox",15.8355
"272",2016-01-22 07:00:00,"chbo","Chilbolton Observatory","nox",16.9371
"273",2016-01-22 08:00:00,"chbo","Chilbolton Observatory","nox",23.8221
"274",2016-01-22 09:00:00,"chbo","Chilbolton Observatory","nox",30.08745
"275",2016-01-22 10:00:00,"chbo","Chilbolton Observatory","nox",31.2579
"276",2016-01-22 11:00:00,"chbo","Chilbolton Observatory","nox",21.41235
"277",2016-01-22 12:00:00,"chbo","Chilbolton Observatory","nox",22.1697
"278",2016-01-22 13:00:00,"chbo","Chilbolton Observatory","nox",26.0253
"279",2016-01-22 14:00:00,"chbo","Chilbolton Observatory","nox",25.54335
"280",2016-01-22 15:00:00,"chbo","Chilbolton Observatory","nox",18.5895
"281",2016-01-22 16:00:00,"chbo","Chilbolton Observatory","nox",18.4518
"282",2016-01-22 17:00:00,"chbo","Chilbolton Observatory","nox",17.901
"283",2016-01-22 18:00:00,"chbo","Chilbolton Observatory","nox",22.5828
"284",2016-01-22 19:00:00,"chbo","Chilbolton Observatory","nox",30.1563
"285",2016-01-22 20:00:00,"chbo","Chilbolton Observatory","nox",27.74655
"286",2016-01-22 21:00:00,"chbo","Chilbolton Observatory","nox",25.0614
"287",2016-01-22 22:00:00,"chbo","Chilbolton Observatory","nox",24.16635
"288",NA,"chbo","Chilbolton Observatory","nox",21.82545
"289",2016-01-23 00:00:00,"chbo","Chilbolton Observatory","nox",23.3172
"290",2016-01-23 01:00:00,"chbo","Chilbolton Observatory","nox",21.2058
"291",2016-01-23 02:00:00,"chbo","Chilbolton Observatory","nox",21.6189
"292",2016-01-23 03:00:00,"chbo","Chilbolton Observatory","nox",24.57945
"293",2016-01-23 04:00:00,"chbo","Chilbolton Observatory","nox",25.6122
"294",2016-01-23 05:00:00,"chbo","Chilbolton Observatory","nox",26.36955
"295",2016-01-23 06:00:00,"chbo","Chilbolton Observatory","nox",26.50725
"296",2016-01-23 07:00:00,"chbo","Chilbolton Observatory","nox",27.74655
"297",2016-01-23 08:00:00,"chbo","Chilbolton Observatory","nox",31.5333
"298",2016-01-23 09:00:00,"chbo","Chilbolton Observatory","nox",26.3007
"299",2016-01-23 10:00:00,"chbo","Chilbolton Observatory","nox",27.33345
"300",2016-01-23 11:00:00,"chbo","Chilbolton Observatory","nox",27.54
"301",2016-01-23 12:00:00,"chbo","Chilbolton Observatory","nox",24.30405
"302",2016-01-23 13:00:00,"chbo","Chilbolton Observatory","nox",15.62895
"303",2016-01-23 14:00:00,"chbo","Chilbolton Observatory","nox",12.5307
"304",2016-01-23 15:00:00,"chbo","Chilbolton Observatory","nox",16.3863
"305",2016-01-23 16:00:00,"chbo","Chilbolton Observatory","nox",23.34015
"306",2016-01-23 17:00:00,"chbo","Chilbolton Observatory","nox",29.3301
"307",2016-01-23 18:00:00,"chbo","Chilbolton Observatory","nox",26.5761
"308",2016-01-23 19:00:00,"chbo","Chilbolton Observatory","nox",27.74655
"309",2016-01-23 20:00:00,"chbo","Chilbolton Observatory","nox",16.59285
"310",2016-01-23 21:00:00,"chbo","Chilbolton Observatory","nox",20.58615
"311",2016-01-23 22:00:00,"chbo","Chilbolton Observatory","nox",17.0748
"312",NA,"chbo","Chilbolton Observatory","nox",12.1176
"313",2016-01-24 00:00:00,"chbo","Chilbolton Observatory","nox",11.6586
"314",2016-01-24 01:00:00,"chbo","Chilbolton Observatory","nox",11.1078
"315",2016-01-24 02:00:00,"chbo","Chilbolton Observatory","nox",10.8783
"316",2016-01-24 03:00:00,"chbo","Chilbolton Observatory","nox",12.59955
"317",2016-01-24 04:00:00,"chbo","Chilbolton Observatory","nox",14.80275
"318",2016-01-24 05:00:00,"chbo","Chilbolton Observatory","nox",17.28135
"319",2016-01-24 06:00:00,"chbo","Chilbolton Observatory","nox",14.80275
"320",2016-01-24 07:00:00,"chbo","Chilbolton Observatory","nox",15.90435
"321",2016-01-24 08:00:00,"chbo","Chilbolton Observatory","nox",18.5895
"322",2016-01-24 09:00:00,"chbo","Chilbolton Observatory","nox",21.0681
